video1,video2,score
https://www.youtube.com/watch?v=07Pmjxhuo4k,https://www.youtube.com/watch?v=XWVBBPcxoZE,0
https://www.youtube.com/watch?v=07Pmjxhuo4k,https://www.youtube.com/watch?v=MHj0dksesho,0
https://www.youtube.com/watch?v=07Pmjxhuo4k,https://www.youtube.com/watch?v=3vzagdNuOCo,0
https://www.youtube.com/watch?v=07Pmjxhuo4k,https://www.youtube.com/watch?v=FZJ5w3xHrAc,0
https://www.youtube.com/watch?v=07Pmjxhuo4k,https://www.youtube.com/watch?v=TDq3-wmihw4,0
https://www.youtube.com/watch?v=07Pmjxhuo4k,https://www.youtube.com/watch?v=zmWcR-Mj2QQ,0
https://www.youtube.com/watch?v=07Pmjxhuo4k,https://www.youtube.com/watch?v=jO9h2qez9Wg,0
https://www.youtube.com/watch?v=07Pmjxhuo4k,https://www.youtube.com/watch?v=czrgVVRPzJY,0
https://www.youtube.com/watch?v=07Pmjxhuo4k,https://www.youtube.com/watch?v=LmnRH4aWaug,0
https://www.youtube.com/watch?v=XWVBBPcxoZE,https://www.youtube.com/watch?v=MHj0dksesho,1
https://www.youtube.com/watch?v=XWVBBPcxoZE,https://www.youtube.com/watch?v=3vzagdNuOCo,0
https://www.youtube.com/watch?v=XWVBBPcxoZE,https://www.youtube.com/watch?v=FZJ5w3xHrAc,0
https://www.youtube.com/watch?v=XWVBBPcxoZE,https://www.youtube.com/watch?v=TDq3-wmihw4,0
https://www.youtube.com/watch?v=XWVBBPcxoZE,https://www.youtube.com/watch?v=zmWcR-Mj2QQ,0
https://www.youtube.com/watch?v=XWVBBPcxoZE,https://www.youtube.com/watch?v=jO9h2qez9Wg,0
https://www.youtube.com/watch?v=XWVBBPcxoZE,https://www.youtube.com/watch?v=czrgVVRPzJY,1
https://www.youtube.com/watch?v=XWVBBPcxoZE,https://www.youtube.com/watch?v=LmnRH4aWaug,0
https://www.youtube.com/watch?v=MHj0dksesho,https://www.youtube.com/watch?v=3vzagdNuOCo,0
https://www.youtube.com/watch?v=MHj0dksesho,https://www.youtube.com/watch?v=FZJ5w3xHrAc,0
https://www.youtube.com/watch?v=MHj0dksesho,https://www.youtube.com/watch?v=TDq3-wmihw4,0
https://www.youtube.com/watch?v=MHj0dksesho,https://www.youtube.com/watch?v=zmWcR-Mj2QQ,0
https://www.youtube.com/watch?v=MHj0dksesho,https://www.youtube.com/watch?v=jO9h2qez9Wg,0
https://www.youtube.com/watch?v=MHj0dksesho,https://www.youtube.com/watch?v=czrgVVRPzJY,1
https://www.youtube.com/watch?v=MHj0dksesho,https://www.youtube.com/watch?v=LmnRH4aWaug,0
https://www.youtube.com/watch?v=3vzagdNuOCo,https://www.youtube.com/watch?v=FZJ5w3xHrAc,1
https://www.youtube.com/watch?v=3vzagdNuOCo,https://www.youtube.com/watch?v=TDq3-wmihw4,0
https://www.youtube.com/watch?v=3vzagdNuOCo,https://www.youtube.com/watch?v=zmWcR-Mj2QQ,1
https://www.youtube.com/watch?v=3vzagdNuOCo,https://www.youtube.com/watch?v=jO9h2qez9Wg,0
https://www.youtube.com/watch?v=3vzagdNuOCo,https://www.youtube.com/watch?v=czrgVVRPzJY,0
https://www.youtube.com/watch?v=3vzagdNuOCo,https://www.youtube.com/watch?v=LmnRH4aWaug,0
https://www.youtube.com/watch?v=FZJ5w3xHrAc,https://www.youtube.com/watch?v=TDq3-wmihw4,1
https://www.youtube.com/watch?v=FZJ5w3xHrAc,https://www.youtube.com/watch?v=zmWcR-Mj2QQ,0
https://www.youtube.com/watch?v=FZJ5w3xHrAc,https://www.youtube.com/watch?v=jO9h2qez9Wg,0
https://www.youtube.com/watch?v=FZJ5w3xHrAc,https://www.youtube.com/watch?v=czrgVVRPzJY,0
https://www.youtube.com/watch?v=FZJ5w3xHrAc,https://www.youtube.com/watch?v=LmnRH4aWaug,0
https://www.youtube.com/watch?v=TDq3-wmihw4,https://www.youtube.com/watch?v=zmWcR-Mj2QQ,1
https://www.youtube.com/watch?v=TDq3-wmihw4,https://www.youtube.com/watch?v=jO9h2qez9Wg,0
https://www.youtube.com/watch?v=TDq3-wmihw4,https://www.youtube.com/watch?v=czrgVVRPzJY,0
https://www.youtube.com/watch?v=TDq3-wmihw4,https://www.youtube.com/watch?v=LmnRH4aWaug,0
https://www.youtube.com/watch?v=zmWcR-Mj2QQ,https://www.youtube.com/watch?v=jO9h2qez9Wg,0
https://www.youtube.com/watch?v=zmWcR-Mj2QQ,https://www.youtube.com/watch?v=czrgVVRPzJY,0
https://www.youtube.com/watch?v=zmWcR-Mj2QQ,https://www.youtube.com/watch?v=LmnRH4aWaug,0
https://www.youtube.com/watch?v=jO9h2qez9Wg,https://www.youtube.com/watch?v=czrgVVRPzJY,0
https://www.youtube.com/watch?v=jO9h2qez9Wg,https://www.youtube.com/watch?v=LmnRH4aWaug,0
https://www.youtube.com/watch?v=czrgVVRPzJY,https://www.youtube.com/watch?v=LmnRH4aWaug,0
